     INDEX             SIGMA               VAI              VFIT
         1      0.721049E+00      0.536868E+02      0.591076E+02
         2      0.694069E+00      0.590779E+02      0.589319E+02
         3      0.984485E+00      0.165760E+02      0.333539E+02
         4      0.745251E+00      0.491830E+02      0.465650E+02
         5      0.756025E+00      0.472708E+02      0.458235E+02
         6      0.847133E+00      0.330453E+02      0.415669E+02
         7      0.781735E+00      0.429206E+02      0.506653E+02
         8      0.603131E+00      0.808015E+02      0.600294E+02
         9      0.717291E+00      0.544135E+02      0.606245E+02
        10      0.496737E+00      0.116314E+03      0.127572E+03
