     INDEX             SIGMA               VAI              VFIT
         1      0.171162E+00      0.249758E+04      0.351951E+04
         2      0.411787E+00      0.278485E+03      0.877541E+03
         3      0.823756E+00     -0.510931E+03     -0.183235E+03
         4      0.942556E+00     -0.689614E+03     -0.509937E+03
         5      0.988030E+00     -0.642125E+03     -0.527046E+03
         6      0.844906E+00     -0.530684E+03     -0.435519E+03
         7      0.737556E+00     -0.418711E+03     -0.323397E+03
         8      0.666217E+00     -0.324341E+03     -0.224400E+03
         9      0.619148E+00     -0.250171E+03     -0.147727E+03
        10      0.587545E+00     -0.193703E+03     -0.925824E+02
        11      0.565855E+00     -0.151296E+03     -0.548982E+02
        12      0.550610E+00     -0.119490E+03     -0.301940E+02
        13      0.539628E+00     -0.954670E+02     -0.146293E+02
        14      0.531536E+00     -0.771280E+02     -0.525082E+01
        15      0.525453E+00     -0.629713E+02      0.752693E-01
        16      0.520802E+00     -0.519239E+02      0.282830E+01
        17      0.517192E+00     -0.432131E+02      0.400227E+01
        18      0.514352E+00     -0.362733E+02      0.424765E+01
        19      0.512089E+00     -0.306902E+02      0.397964E+01
        20      0.510265E+00     -0.261533E+02      0.345623E+01
        21      0.508781E+00     -0.224357E+02      0.283267E+01
        22      0.507561E+00     -0.193653E+02      0.219837E+01
        23      0.506550E+00     -0.168106E+02      0.160147E+01
        24      0.505707E+00     -0.146714E+02      0.106488E+01
        25      0.504999E+00     -0.128683E+02      0.596581E+00
        26      0.153372E+00      0.293806E+04      0.262306E+04
        27      0.267437E+00      0.113048E+04      0.106734E+04
        28      0.391937E+00      0.358431E+03      0.339772E+03
        29      0.480414E+00      0.530001E+02      0.231377E+02
        30      0.520299E+00     -0.507190E+02     -0.968836E+02
        31      0.529466E+00     -0.723474E+02     -0.127742E+03
        32      0.526106E+00     -0.645087E+02     -0.121704E+03
        33      0.519699E+00     -0.492770E+02     -0.103142E+03
        34      0.513753E+00     -0.348016E+02     -0.826936E+02
        35      0.509134E+00     -0.233235E+02     -0.644583E+02
        36      0.505796E+00     -0.148969E+02     -0.495785E+02
        37      0.503463E+00     -0.894126E+01     -0.379717E+02
        38      0.501861E+00     -0.481950E+01     -0.291329E+02
        39      0.500773E+00     -0.200756E+01     -0.224831E+02
        40      0.500046E+00     -0.118319E+00     -0.175045E+02
        41      0.499567E+00      0.112718E+01     -0.137773E+02
        42      0.499261E+00      0.192460E+01     -0.109788E+02
        43      0.499074E+00      0.241254E+01     -0.886737E+01
        44      0.498969E+00      0.268651E+01     -0.726477E+01
        45      0.498920E+00      0.281494E+01     -0.604058E+01
        46      0.498909E+00      0.284337E+01     -0.509942E+01
        47      0.498924E+00      0.280479E+01     -0.437141E+01
        48      0.498955E+00      0.272236E+01     -0.380508E+01
        49      0.498997E+00      0.261208E+01     -0.336227E+01
        50      0.499046E+00      0.248543E+01     -0.301450E+01
        51      0.186367E+00      0.218774E+04      0.201148E+04
        52      0.308591E+00      0.806349E+03      0.715826E+03
        53      0.430022E+00      0.211550E+03      0.140730E+03
        54      0.509390E+00     -0.239636E+02     -0.873461E+02
        55      0.540267E+00     -0.968902E+02     -0.156304E+03
        56      0.544206E+00     -0.105599E+03     -0.157954E+03
        57      0.537875E+00     -0.915414E+02     -0.135406E+03
        58      0.529570E+00     -0.725887E+02     -0.107700E+03
        59      0.522231E+00     -0.553395E+02     -0.823665E+02
        60      0.516495E+00     -0.415181E+02     -0.616948E+02
        61      0.512221E+00     -0.310157E+02     -0.457692E+02
        62      0.509089E+00     -0.232099E+02     -0.338884E+02
        63      0.506803E+00     -0.174513E+02     -0.251859E+02
        64      0.505130E+00     -0.132027E+02     -0.188731E+02
        65      0.503898E+00     -0.100570E+02     -0.143121E+02
        66      0.502985E+00     -0.771533E+01     -0.110164E+02
        67      0.502303E+00     -0.596159E+01     -0.862786E+01
        68      0.501791E+00     -0.463986E+01     -0.688795E+01
        69      0.501403E+00     -0.363732E+01     -0.561219E+01
        70      0.501107E+00     -0.287110E+01     -0.466977E+01
        71      0.500879E+00     -0.228150E+01     -0.396807E+01
        72      0.500703E+00     -0.182479E+01     -0.344141E+01
        73      0.500566E+00     -0.147004E+01     -0.304305E+01
        74      0.500459E+00     -0.119257E+01     -0.273950E+01
        75      0.500375E+00     -0.974945E+00     -0.250663E+01
        76      0.130802E+00      0.366934E+04      0.417501E+04
        77      0.233820E+00      0.147992E+04      0.171819E+04
        78      0.365652E+00      0.477648E+03      0.578947E+03
        79      0.477988E+00      0.598666E+02      0.887583E+02
        80      0.537398E+00     -0.904675E+02     -0.945709E+02
        81      0.553918E+00     -0.126541E+03     -0.141317E+03
        82      0.550387E+00     -0.119012E+03     -0.133277E+03
        83      0.541046E+00     -0.986233E+02     -0.107842E+03
        84      0.531722E+00     -0.775576E+02     -0.807863E+02
        85      0.524096E+00     -0.597691E+02     -0.577923E+02
        86      0.518289E+00     -0.458730E+02     -0.401181E+02
        87      0.513979E+00     -0.353580E+02     -0.272929E+02
        88      0.510799E+00     -0.274848E+02     -0.183332E+02
        89      0.508443E+00     -0.215882E+02     -0.122457E+02
        90      0.506683E+00     -0.171465E+02     -0.820137E+01
        91      0.505353E+00     -0.137715E+02     -0.556755E+01
        92      0.504338E+00     -0.111814E+02     -0.388570E+01
        93      0.503553E+00     -0.917335E+01     -0.283460E+01
        94      0.502940E+00     -0.760025E+01     -0.219461E+01
        95      0.502457E+00     -0.635585E+01     -0.181828E+01
        96      0.502071E+00     -0.536132E+01     -0.160817E+01
        97      0.501760E+00     -0.455941E+01     -0.150072E+01
        98      0.501507E+00     -0.390710E+01     -0.145505E+01
        99      0.501300E+00     -0.337188E+01     -0.144523E+01
       100      0.501129E+00     -0.293005E+01     -0.145505E+01
       101      0.500988E+00     -0.256281E+01     -0.147461E+01
       102      0.227403E+00      0.155836E+04      0.200936E+04
       103      0.428604E+00      0.216553E+03      0.555022E+03
       104      0.621920E+00     -0.254850E+03     -0.296540E+02
       105      0.698472E+00     -0.369398E+03     -0.220679E+03
       106      0.685638E+00     -0.351978E+03     -0.246513E+03
       107      0.647026E+00     -0.295404E+03     -0.212504E+03
       108      0.610558E+00     -0.235400E+03     -0.164347E+03
       109      0.582355E+00     -0.183842E+03     -0.119802E+03
       110      0.562006E+00     -0.143429E+03     -0.841963E+02
       111      0.547226E+00     -0.112190E+03     -0.577665E+02
       112      0.536548E+00     -0.885531E+02     -0.390058E+02
       113      0.528734E+00     -0.706490E+02     -0.260830E+02
       114      0.522924E+00     -0.569901E+02     -0.173744E+02
       115      0.518534E+00     -0.464666E+02     -0.116057E+02
       116      0.515166E+00     -0.382698E+02     -0.783995E+01
       117      0.512544E+00     -0.318152E+02     -0.541454E+01
       118      0.510475E+00     -0.266773E+02     -0.387351E+01
       119      0.508825E+00     -0.225471E+02     -0.290898E+01
       120      0.507494E+00     -0.191957E+02     -0.231608E+01
       121      0.506409E+00     -0.164527E+02     -0.196005E+01
       122      0.505518E+00     -0.141899E+02     -0.175318E+01
       123      0.504780E+00     -0.123098E+02     -0.163889E+01
       124      0.504164E+00     -0.107366E+02     -0.158104E+01
       125      0.189177E+00      0.213593E+04      0.216799E+04
       126      0.313510E+00      0.773299E+03      0.867160E+03
       127      0.431948E+00      0.204811E+03      0.280159E+03
       128      0.503471E+00     -0.896330E+01      0.349213E+02
       129      0.530106E+00     -0.738296E+02     -0.531011E+02
       130      0.533132E+00     -0.807905E+02     -0.731826E+02
       131      0.527801E+00     -0.684750E+02     -0.670612E+02
       132      0.521117E+00     -0.526805E+02     -0.532724E+02
       133      0.515333E+00     -0.386799E+02     -0.393548E+02
       134      0.510903E+00     -0.277424E+02     -0.278534E+02
       135      0.507674E+00     -0.196516E+02     -0.191985E+02
       136      0.505367E+00     -0.138050E+02     -0.130367E+02
       137      0.503725E+00     -0.961321E+01     -0.881329E+01
       138      0.502555E+00     -0.660972E+01     -0.600222E+01
       139      0.501861E+00     -0.482132E+01     -0.417828E+01
       140      0.501262E+00     -0.327376E+01     -0.302403E+01
       141      0.500831E+00     -0.215619E+01     -0.231351E+01
       142      0.500519E+00     -0.134848E+01     -0.189096E+01
       143      0.500294E+00     -0.764529E+00     -0.165157E+01
       144      0.500132E+00     -0.343884E+00     -0.152613E+01
       145      0.500016E+00     -0.423629E-01     -0.146971E+01
       146      0.499934E+00      0.171614E+00     -0.145367E+01
       147      0.499877E+00      0.320397E+00     -0.146001E+01
