     INDEX             SIGMA               VAI              VFIT
         1      0.664451E-01      0.848251E+04      0.809775E+04
         2      0.545293E+00     -0.107980E+03     -0.861641E+02
         3      0.607486E+00     -0.230016E+03     -0.246297E+03
         4      0.126637E+00      0.383279E+04      0.438123E+04
         5      0.500144E+00     -0.374801E+00     -0.167007E+01
         6      0.304409E+00      0.835282E+03      0.115579E+04
         7      0.500255E+00     -0.663584E+00     -0.162825E+01
         8      0.500053E+00     -0.137184E+00     -0.166999E+01
         9      0.505857E+00     -0.150526E+02     -0.493964E+01
        10      0.500128E+00     -0.333864E+00     -0.167006E+01
        11      0.499996E+00      0.945506E-02     -0.166952E+01
        12      0.499976E+00      0.624755E-01     -0.166950E+01
        13      0.499985E+00      0.377060E-01     -0.164809E+01
        14      0.465315E+00      0.969035E+02      0.183583E+03
        15      0.500081E+00     -0.209871E+00     -0.167222E+01
        16      0.500146E+00     -0.380356E+00     -0.167001E+01
        17      0.369053E+00      0.461266E+03      0.385127E+03
        18      0.500038E+00     -0.979215E-01     -0.166940E+01
        19      0.112541E+00      0.447567E+04      0.386256E+04
        20      0.306737E+00      0.819079E+03      0.940099E+03
        21      0.500175E+00     -0.453786E+00     -0.167007E+01
        22      0.874478E+00     -0.556700E+03     -0.555688E+03
        23      0.296543E+00      0.891922E+03      0.120871E+04
        24      0.528525E+00     -0.701620E+02     -0.523794E+02
        25      0.114393E+00      0.438219E+04      0.407258E+04
        26      0.659422E+00     -0.314289E+03     -0.241023E+03
        27      0.501517E+00     -0.393334E+01     -0.281291E+01
        28      0.500197E+00     -0.511640E+00     -0.166982E+01
        29      0.507222E+00     -0.185108E+02     -0.163761E+02
        30      0.338124E+00      0.622371E+03      0.803098E+03
        31      0.607777E-01      0.939472E+04      0.104816E+05
        32      0.693828E-01      0.806831E+04      0.812297E+04
        33      0.522816E+00     -0.567335E+02     -0.638275E+02
        34      0.574364E+00     -0.168313E+03     -0.129689E+03
        35      0.500246E+00     -0.638997E+00     -0.167096E+01
        36      0.500134E+00     -0.347816E+00     -0.167003E+01
        37      0.500127E+00     -0.329783E+00     -0.167000E+01
        38      0.500098E+00     -0.253848E+00     -0.167198E+01
        39      0.500158E+00     -0.411547E+00     -0.167828E+01
        40      0.276155E+00      0.105375E+04      0.111185E+04
        41      0.500956E+00     -0.248031E+01     -0.155835E+01
        42      0.499855E+00      0.377872E+00     -0.166937E+01
        43      0.530219E+00     -0.740915E+02     -0.132974E+03
        44      0.499063E+00      0.244029E+01      0.321518E+00
        45      0.507161E+00     -0.183562E+02     -0.837240E+01
        46      0.479913E+00      0.544124E+02     -0.228988E+02
        47      0.634548E+00     -0.275648E+03     -0.245701E+03
